"id_tps"	"name"	"sex"	"set"	"nat"	"age"	"weight"	"height"	"Attractiveness"	"Sextypicality"	"Asymmetry"	"Distinctiveness"	"SATRA"
"50"	"F60"	"F"	"BRAZ"	"BRAZ"	29	58	166	3.45833	-0.612670740812181	0.153553517997469	0.04982325792661	0.752835077481121
"0"	"F001_DSC0012"	"F"	"CMR12"	"CMR"	19	60	167	3.979166667	0.060848576264807	0.143955996152853	0.0633711310430416	0.87808926327458
"1"	"F002_DSC0021"	"F"	"CMR12"	"CMR"	23	48	160	4.770833333	0.051312218336911	0.151028687585072	0.0441183982226084	1.94124148109329
"2"	"F003_DSC0028"	"F"	"CMR12"	"CMR"	27	62	160	4.0625	-0.593399124632428	0.144004124618381	0.0529140785995214	0.990000022691569
"3"	"F010_DSC0087"	"F"	"CMR12"	"CMR"	23	65	157	3.458333333	-0.107552850521663	0.143487555107661	0.0457334153606777	0.178647013225349
"4"	"F011_DSC0093"	"F"	"CMR12"	"CMR"	22	64	165	3.333333333	-0.395612218930677	0.141753769040718	0.0400862050624072	0.0107808734284017
"5"	"F012_DSC0099"	"F"	"CMR12"	"CMR"	18	58	162	4.333333333	0.541039543642911	0.147510556248038	0.0608111414362282	1.35370999180398
"6"	"F016_DSC0122"	"F"	"CMR12"	"CMR"	22	55	153	5.375	-0.699501349564686	0.143796240375293	0.0536493463716265	2.75259449055951
"7"	"F017_DSC0130"	"F"	"CMR12"	"CMR"	21	63	166	3.458333333	0.136074360788917	0.146675187316415	0.0563079644090277	0.178647013225349
"8"	"F018_DSC0135"	"F"	"CMR12"	"CMR"	23	63	165	4.375	-0.21057727313804	0.142819214250332	0.0334372323141522	1.40966537218394
"9"	"F022_DSC0179"	"F"	"CMR12"	"CMR"	20	72	159	4.020833333	-0.563673428897361	0.140622738209032	0.0465048020662462	0.93404464231161
"10"	"F023_DSC0184"	"F"	"CMR12"	"CMR"	20	65	164	3.479166667	-0.452533856992142	0.145139981989241	0.0576004489826333	0.206624704086792
"11"	"F024_DSC0187"	"F"	"CMR12"	"CMR"	20	63	153	4.083333333	-0.0905738595138829	0.143492901742244	0.054229936491593	1.01797771221008
"12"	"F025_DSC0197"	"F"	"CMR12"	"CMR"	38	102	166	4.270833333	-0.411261532231514	0.146959579272582	0.0582433671357041	1.2697769219055
"13"	"F026_DSC0202"	"F"	"CMR12"	"CMR"	54	74	161	2.541666667	-0.114855334907676	0.150836803942312	0.070858853624274	-1.05237134439031
"14"	"F027_DSC0210"	"F"	"CMR12"	"CMR"	44	79	160	3.479166667	-0.244663500123668	0.144099293097581	0.0395484514176465	0.206624704086792
"15"	"F034_DSC0253"	"F"	"CMR12"	"CMR"	22	54	150	3.791666667	0.319322680789325	0.148557260600972	0.0615532982463067	0.62629005357916
"16"	"F035_DSC0260"	"F"	"CMR12"	"CMR"	21	57	166	3.25	0.130242760241809	0.142850936024607	0.0511124388911135	-0.101129885988587
"17"	"F036_DSC0266"	"F"	"CMR12"	"CMR"	23	53	166	4.583333333	0.572795443182691	0.140402247246426	0.0553265275820188	1.68944227139787
"18"	"F040_DSC0285"	"F"	"CMR12"	"CMR"	21	61	156	4.770833333	-0.0392417761001528	0.143504127012758	0.0425910743627958	1.94124148109329
"19"	"F041_DSC0290"	"F"	"CMR12"	"CMR"	21	86	165	2.270833333	-0.0587884362132995	0.146594831986755	0.0822609301023856	-1.41608131484565
"20"	"F042_DSC0297"	"F"	"CMR12"	"CMR"	29	57	150	3.020833333	-0.19858069253885	0.151173561712672	0.0726324228390627	-0.408884476063966
"21"	"F046_DSC0343"	"F"	"CMR12"	"CMR"	45	76	160	3.8125	1.26659079331525	0.145855112150083	0.102376355620374	0.654267743097675
"22"	"F047_DSC0347"	"F"	"CMR12"	"CMR"	29	84	168	4.625	0.160392945414236	0.146344150835842	0.0438287907352757	1.74539765177783
"23"	"F048_DSC0354"	"F"	"CMR12"	"CMR"	31	78	161	3.5625	0.317084330161026	0.142642474778001	0.0475104891738459	0.318535463503781
"24"	"F052_DSC0370"	"F"	"CMR12"	"CMR"	19	64	164	4.3125	0.453424920208897	0.144523976848494	0.0556734458490145	1.32573230228546
"25"	"F053_DSC0375"	"F"	"CMR12"	"CMR"	19	54	159	4.479166667	-0.229376454160041	0.143096838142045	0.0621509813192898	1.54955382246237
"26"	"F054_DSC0379"	"F"	"CMR12"	"CMR"	21	52	163	3.020833333	0.676570031734768	0.146078819312081	0.053731031328268	-0.408884476063966
"27"	"F055_DSC0386"	"F"	"CMR12"	"CMR"	19	61	167	3.8125	0.126693831164361	0.145001075078652	0.054730586614592	0.654267743097675
"28"	"F056_DSC0390"	"F"	"CMR12"	"CMR"	17	77	158	3.375	0.780031200268148	0.142285765007136	0.0680330311963375	0.0667362538083602
"29"	"F057_DSC0393"	"F"	"CMR12"	"CMR"	17	59	164	4.541666667	0.638090388459591	0.144694286495103	0.0666438533875235	1.63348689236084
"30"	"F064_DSC0444"	"F"	"CMR12"	"CMR"	23	48	156	3.625	0.588959526321786	0.147140598526715	0.0495667271456649	0.402468533402254
"31"	"F065_DSC0453"	"F"	"CMR12"	"CMR"	20	61	158	3.166666667	0.0493478292465978	0.146258378023265	0.0729366525040443	-0.213040645405575
"32"	"F066_DSC0458"	"F"	"CMR12"	"CMR"	33	78	158	3.541666667	0.505967414925208	0.141261621763688	0.0726301144634692	0.290557773985266
"33"	"F070_DSC0476"	"F"	"CMR12"	"CMR"	29	128	167	3.229166667	-0.43280620201187	0.145603964095195	0.0726559412483611	-0.129107575507102
"34"	"F071_DSC0479"	"F"	"CMR12"	"CMR"	34	94	158	3.604166667	0.582716041532393	0.140941901928339	0.0537696992391613	0.374490843883739
"35"	"F072_DSC0484"	"F"	"CMR12"	"CMR"	34	94	170	3.729166667	-0.581896942823329	0.141509970530178	0.0444120350359161	0.542356983680686
"36"	"F073_DSC0488"	"F"	"CMR12"	"CMR"	20	65	159	3.4375	-0.358122384253263	0.152528321753939	0.0849624463651968	0.150669323706834
"37"	"F074_DSC0491"	"F"	"CMR12"	"CMR"	20	67	164	3.1875	-0.128516095206223	0.143106777198297	0.0698505280941246	-0.18506295588706
"38"	"F075_DSC0494"	"F"	"CMR12"	"CMR"	19	51	151	3.958333333	-0.612912194163276	0.154187998770817	0.0589283073810221	0.850111572413137
"39"	"F082_DSC0517"	"F"	"CMR12"	"CMR"	20	55	155	4	-0.198301967858287	0.148364848380317	0.0671245969509197	0.906066952793095
"40"	"F083_DSC0520"	"F"	"CMR12"	"CMR"	18	57	166	4.125	0.364319038610093	0.142241196576152	0.0808198164049031	1.07393309259004
"41"	"F084_DSC0523"	"F"	"CMR12"	"CMR"	18	65	161	3.208333333	0.412404941975893	0.143229073568191	0.0398021883003043	-0.157085266368545
"42"	"F085_DSC0547"	"F"	"CMR12"	"CMR"	19	60	158	4.854166667	-0.314935651348878	0.15542198412075	0.0495729051223305	2.05315224185321
"43"	"F086_DSC0552"	"F"	"CMR12"	"CMR"	19	59	161	4.875	0.121919607644064	0.146531940640591	0.0622867390938642	2.08112993137172
"44"	"F087_DSC0555"	"F"	"CMR12"	"CMR"	22	63	155	4.354166667	0.305065072643603	0.146172281603385	0.0647856381557535	1.38168768266542
"45"	"F091_DSC0568"	"F"	"CMR12"	"CMR"	41	64	160	3.145833333	0.901059059457534	0.147369408445989	0.064972438224552	-0.241018336267019
"46"	"F092_DSC0571"	"F"	"CMR12"	"CMR"	33	87	167	3.416666667	0.544052946670518	0.147837064556092	0.084721357108827	0.122691634188319
"47"	"F093_DSC0575"	"F"	"CMR12"	"CMR"	40	63	153	2.708333333	-0.537397244370919	0.159456194112418	0.0701352262523287	-0.828549825556333
"48"	"F097_DSC0590"	"F"	"CMR12"	"CMR"	20	69	164	3.6875	-0.253375674250154	0.14283091631763	0.051371175132217	0.486401603300728
"49"	"F098_DSC0593"	"F"	"CMR12"	"CMR"	21	60	168	3.1875	-0.322580724236014	0.146699836329114	0.0720464226519411	-0.18506295588706
