Rater	M_2_ATTR	M_4_ATTR	M_6_ATTR	M_7_ATTR	M_8_ATTR	M_9_ATTR	M_10_ATTR	M_11_ATTR	M_12_ATTR	M_13_ATTR	M_15_ATTR	M_16_ATTR	M_18_ATTR	M_28_ATTR	M_31_ATTR	M_36_ATTR	M_44_ATTR	M_54_ATTR	M_55_ATTR	M_57_ATTR	M_77_ATTR	M_78_ATTR	M_79_ATTR	M_88_ATTR	M_90_ATTR	M_93_ATTR	M_96_ATTR	M_103_ATTR	M_119_ATTR	M_121_ATTR	M_122_ATTR	M_140_ATTR	M_141_ATTR	M_142_ATTR	M_143_ATTR	M_145_ATTR	M_146_ATTR	M_147_ATTR	M_149_ATTR	M_161_ATTR	M_166_ATTR	M_168_ATTR	M_175_ATTR	M_191_ATTR	M_193_ATTR	M_202_ATTR	M_203_ATTR	M_209_ATTR	M_210_ATTR	M_217_ATTR	M_223_ATTR	M_224_ATTR	M_225_ATTR	M_230_ATTR	M_240_ATTR	M_241_ATTR	M_247_ATTR	M_249_ATTR	M_250_ATTR	M_251_ATTR	M_252_ATTR	M_267_ATTR	M_268_ATTR	M_289_ATTR	M_290_ATTR	M_291_ATTR	M_293_ATTR	M_296_ATTR	M_313_ATTR	M_314_ATTR	M_317_ATTR	M_318_ATTR	M_319_ATTR	M_322_ATTR	M_324_ATTR	M_327_ATTR	M_337_ATTR	M_348_ATTR	M_356_ATTR	M_358_ATTR	M_372_ATTR	M_400_ATTR	M_401_ATTR	M_407_ATTR	M_409_ATTR	M_410_ATTR	M_411_ATTR	M_413_ATTR	M_417_ATTR	M_422_ATTR	M_437_ATTR	M_440_ATTR	M_443_ATTR	M_448_ATTR	M_458_ATTR	M_459_ATTR	M_462_ATTR	M_463_ATTR	M_476_ATTR	M_477_ATTR	M_483_ATTR	M_496_ATTR	M_499_ATTR	M_500_ATTR	M_501_ATTR	M_506_ATTR	M_507_ATTR	M_510_ATTR	M_515_ATTR	M_516_ATTR	M_517_ATTR	M_520_ATTR	M_528_ATTR	M_529_ATTR	M_540_ATTR
TUR943					3						5													4																									3				3				4																										5													5																			
TUR944								1								1																1										1		1																						1									1																				2																				
TUR945		5													3																																																							5								3		3				3																									5	4					
TUR946													1					1			1																														1																	4													1																1											4							
TUR947	1		1																			1								3				1				3							1																																												1																										
TUR948				1					1								1										1				1																																																						1	1																													
TUR949																							2																			2	3																																				2						2			2												3															
TUR950					1									3														2																					2				3			2																					2																						3																
TUR951																						1																	1								6																								1																															1									1				
TUR952		1				1																																							1			1																												1																				1		1																	
TUR953	2																																											1															4			4												2																		2									2							2							
TUR954								4																			3																							1																			1				5										4								6																			2					
TUR955			3													3																									6																						2																			1		1						1															3										
TUR956															2									1		3				4																												5						4																	2																							3											
TUR957										3			5																			1																																								1			1			6		2														4																					
TUR958																																	1		7																1				1						5				1																						1																				1								
TUR959	1											1																																				7				1																		2															2												1						1												
TUR960		3																2																		1																													1		3								1																					2		2																	
TUR961																							3	1								1																	1	1					1																													1																															
TUR962													1												1									1								1																			1																			1								1																						1					
TUR963										1	1																			5			1																			1																									6																	1												3									
TUR964									1																	1		1										1			3																																							1																															1	7			
TUR965											2																2																													5															2				1					3																										4						7			
TUR966															1																		3																								5																6				4																													4			3			6			
TUR967																								1							5																									1									1							1																			3															1						5			
TUR968																			1						4												5																								5									6																				3								1														7			
TUR969					1																					1										1																																											5											2		6														3						2			
TUR970																																									6	1																										1					1																									1	5							3						5			
TUR971								5											2								3																																																								4				3													4												6			3
TUR972									1					1				3									1													2																																			1						3																															3			
TUR973		2																																																					1		2		2																	2								1																										5		3			
TUR974					2											5																			6																			2									4																																5				5													5			
TUR975		2																									1																1														5						1																													2																	1			6			
TUR976																					4																										5																			4	4								4																																				4	6			
TUR977											1				1																1																			1																																					1																		1				1			1			
TUR978																				5																	2							1																												1											1																								3			1		3			
TUR979																																	2										2	3						2	2																																								3																	2				5			
TUR980														1													1							1																											1					1																		1									2																			1			
TUR981																			3															5					2									3																					3	4																															2											6			
TUR982			3							4																																																					4								2					2	4																	2																		5			
TUR983	1																							1										1																													1							2																									1																	1			
TUR984																				5																							3																3		3	1			1																																															6			1
TUR985																									3	6												6																					2				2											3														3																								2			
TUR986																													4														5																			4									4			1																			5										3									7			
TUR987																			1						4	4				1																									2				1									6																																												7			
TUR988																2					2															2																																																				2								3	3	2														4			
TUR989											2													2				1																													2																											1																		1	1									2			
TUR990																					1			1														5								6																								2					3																																4					5			
TUR991																							4									2																																								2		6														5										2														4			1
TUR992																																														6							6					4				1																								2		4											2													7			
TUR993									5	4				5																																								2																									5																																	7			3
TUR994						1																																	2								2													1												1										2																			1											2			
TUR995	1										3														2																3																																																									1					4									7			
TUR996																																															1																2																				3		1														3		2	1										2			
TUR997																																	3							4																5	3												4																														4													7			2
TUR998																																			5																									1								3																				2															2					3				4			1
TUR999																					1			1																			2																	2																												1																								5			
TUR1000				2	1																	3																																						2																																4					2						1									4			
TUR1001											1											1												1					1																			1																								1																		1												2			
TUR1002																																							1								7					3													3						2																												5													4			1
TUR1003									1												1					1														1													1												1																												1																			1			
TUR1004																		2						1				3															1			1																								3					1																																					4			
TUR1005		1		1																											1																																									1														1																						1		5		6			
TUR1006															2																																																		2																				2	2				5															3							6			
TUR1007															1																										1												1		1	1													1																														1													1			
TUR1008																				3		2				6											5					1																																														3																								7			1
TUR1009														2																														1	1															1																	1								1												1															3			
TUR1010						3					2				2				3																														4			3																																			2																									6			
TUR1011																																														2																																				1																1						1				1				4			
TUR1012																4																2				2																2												2																																								2											2
TUR1013									4								5		3																						4																		3		4																																															4				6			
TUR1014				1																															6															1																									1		1																					1													1	7			
TUR1015	4				4			4																				4																											3																4																																				4					5			
TUR1016								3													3																		2																	2													4		4														3																											6			
TUR1017				3																												1																						2		1																																											5									2			2	6			
TUR1018															1										5									2				1																	1																						4							2																												1			
TUR1019														3																																1															1																	1			1							1																								3			1
TUR1020												4			1								2											1									4																							1																																									4					7			
TUR1021																			1																																				1		1													4	1													1														1														1			
TUR1022								2					2	1												1																						6																										5		3																																				3			
TUR1023									5															5													5											6									4																					2									4																											4	
TUR1024	1															3																						5																												1																																				1	1											1	
TUR1025																																																									4																2										5			2												2						1						1				3	
TUR1026	5													4																									1																3						2																																			2				4														2	
TUR1027							1						4						1																							2			6																																1																													5								1	
TUR1028																												5								1						4																	3											4						3																	5																					4	
TUR1029														7	3																																																	1			4																		4																					4					5			4	
TUR1030										1																																						5				1									5					1					2				1																																							1	
TUR1031																			2												1																																																												2									3		1					3			5				1	
TUR1032			5																						4						6																3																						1							5																3																						2	
TUR1033		1																													1																																	1																				1	1				1														1											1	
TUR1034				1																													2			1																														1																				1				1			4																					1	
TUR1035																		5																																									2	1																							6	1															3															4	
TUR1036																																																																2	1									1							1							2						3															2					3	
TUR1037																							3							1																						2		2						1																		3																																	2			2	
TUR1038										3																											4						2								1											2																														2		2																				3	
TUR1039																																																								1															1				1				1																		1						3							3				1	
TUR1040					2																																5													2	2					3																			2																										2													3	
TUR1041														1															2																																																										1									1										1				2	1			1	
TUR1042																																1													6																															2											6					2					3			6														5	
TUR1043																																																								2	3	7						3													3															7							3															3	
TUR1044						1			3																		1																																			1																										1						1																				2	1
TUR1045															1																								1												1																																			2												1		3					1									2	
TUR1046					1																													1								1												2							1																																	2																				1	
TUR1047							4				4																					4					6					4																								4																																			5													4	
TUR1048																																	4						5										5								4									5																																					3											5	3
TUR1049	1				1								1										3						2																1																																																							6														1	
TUR1050																			1																												4	6								1																																																2				3						1	
TUR1051																							4			1										1					5													1												1																																							1									1	
TUR1052				2										4								4																																															3					2									5																		3													3	
TUR1053									2														3									1																																																			3									1																		1				1	
TUR1054	1					1																																1		1																																			1																										1								1					1	
TUR1055							1						1																					2			2																									1																										6														6												1	
TUR1056		1													1																															1			1													1															1															1																						1	
TUR1057			1		2																			2																								2																																																				2										1				6	
TUR1058												7																		5																																																		4		2		2	5														4															3	
TUR1059														1										1																1			1											1																																														1														1	1
TUR1060		1																																																																						1									1							2					2			1					2													1	
TUR1061														6															3																																																				2															2																		2	
TUR1062										1																										1	2															2												1																																						1												1	
TUR1063										3													5				3																																		2											1									2																		1															1	
TUR1064						1					4			5				4		4																																																			2																																1											3	
TUR1065								5																									3																														5				5																									4											3				5							5	
TUR1066																															4			4															3									7		1								5					4																																									2	
TUR1067										2						3									2	2																																		2																																																3						2	
TUR1068												5						3								3			1																				1						3																																																	1										2	
TUR1069			4									3																																									3	1																				2				2																										1										1	
TUR1070								1								4																					4																					6																						1				1															3															2	
TUR1071																							1	1																									2				7				5			1							3																																															1	
TUR1072						1																																						6					6																				7								6																																					6	1
TUR1073								1																				2						3										4																3																														2									2															1	
TUR1074			3									5		7		3																										1								1		3																																																														4	
TUR1075													1			6																												5																1				5																																					5					2								4	
TUR1076														6															5												3																																																	1		2						1																	
TUR1077				3														5	1																	1										4																				2																				3																												2	
TUR1078																		5							5																																														4																								5													4				6		3	
TUR1079												3																																																	3					2						2																								3												3				6		3	
TUR1080									2														5												3													7					4																																	4																										5		4	
TUR1081															1																																				1																																				1																									2			
TUR1082																				2								2				1							1																																															1			3																							4		2	
TUR1083				1	1																			1																											1																				5																														3											7		1	
TUR1084				1																							1									1			1									1	1																						1							1																																					
TUR1085					1																		2				1																				5															1							1																	1																									1				
TUR1086	1									2			2											2																											2								2													1																							3																				
TUR1087																																																																																																																			
TUR1088																																																																																																																			
TUR1089																																																																																																																			
TUR1090																																																																																																																			
TUR1091								1																																																4																																					5																						
TUR1092																																																																																																																			
TUR1093																																																																																																																			
TUR1094																																																																																																																			
TUR1095																																																																																																																			
TUR1096																																																																																																																			
TUR1097																																																																																																																			
TUR1098																																																																																																																			
TUR1099																																																																																																																			
TUR1100																																																																																																																			
TUR1101											1																		2					3																					3												4															1						3														1													
TUR1102																																																																																																																			
TUR1103																																																																																																																			
TUR1104		1																																																																1									1																																		1	2					
TUR1105																																																																																																																			
TUR1106																																																																																								1																											
TUR1107																																																																																																																			
TUR1108																																																																																																																			
TUR1109																																																																																																																			
TUR1110																																																																																																																			
TUR1111																																																																																																																			
TUR1112																																																																																																																			
TUR1113																																																																																																																			
TUR1114																																																																																																																			
TUR1115																																																																																																																			
TUR1116																																																																																																																			
TUR1117																																																																																																																			
TUR1118																																																																																																																			
TUR1119																																																																																																																			
TUR1120																																																																																																																			
TUR1121																																																																																																																			
TUR1122																	4					6																2																1							1											2																																	4						4				
TUR1123													2																																																								2								1				3																		4									3		3					
TUR1124																																																																																																																			
TUR1125																																																																																																																			
TUR1126																																																																																																																			
TUR1127																																																																																																																			
TUR1128																																																																																			1																																
TUR1129																																																																																																																			
TUR1130																																																																																																																			
TUR1131																																																																																																																			
TUR1132							1																								2	1												2		2			1																		1																																														1		
TUR1133																																																																																																																			
TUR1134							1		2				2							2																																		2																													6											1																5					
TUR1135																																																																																																																			
TUR1136																				6								1																			6			1	6													1																2																					2														
TUR1137																																																																																																																			
TUR1138			1																	1					1									1		1																	1																																							1																		2					
TUR1139																																																																																																																			
TUR1140																																																																																																																			
TUR1141																																																																																																																			
TUR1142																																																																																																																			
TUR1143	1																	1			1																																		2														2																								2											1					1						
TUR1144																																																																																																																			
TUR1145																																																																																																																			
TUR1146		1				1																				1											4																					1					1													1																1																							
TUR1147																																																																																																																			
TUR1148																						1															2													1																1						1								1																													1					1	
TUR1149																	1																														1													1	1		1																																			1					1		1										
TUR1150																																																																																																																			
TUR1151																																																																																																																			
TUR1152																																																																																																																			
TUR1153																																																																																																																			
TUR1154																																																																																																																			
TUR1155																																																																																																																			
TUR1156																																																																																																																			
TUR1157													1																																						1					1																						3	1														3												1										
TUR1158																																																																																																																			
TUR1159																																																																																																																			
TUR1160																																																																																																																			
TUR1161																																																																																																																			
TUR1162																																																																																																																			
TUR1163																																																																																																																			
TUR1164							1										1												1						7																					1			1													1																								1																			
TUR1165															1	2					1										4					1								1																	4												1																																										
TUR1166																																																																																																																			
TUR1167							1																																																								1				2											2	1								1	1														1													
TUR1168																																																																																																																			
TUR1169						1							1	5			1					1		1																																				1																														1																									
TUR1170																																																																																																																			
TUR1171				1																		1																					2							1									1																		1																							1									1						
TUR1172																3																1					1												1	1																								1																1																	6								
TUR1173																																																																																																																			
TUR1174																																																																																																																			
TUR1175																									1							3								3																			2																						4													2	5									1											
TUR1176																																																																																																																			
TUR1177											2																													2																																																	2						5								2			2			2						
TUR1178																																																																																																																			
TUR1179																																																																																																																			
TUR1180																																																																																																																			
TUR1181																			1										1											1																						1			1				1	2																	1																												
TUR1182																																																																																																																			
TUR1183																																																																																																																			
TUR1184																																																																																																																			
TUR1185		2															1													2																						1																				1				1																2																			1				
TUR1186																																																																																																																			
TUR1187																																																																																																																			
TUR1188																																																																																																																			
TUR1189																																																																																																																			
TUR1190						1																																											3																																																																		
TUR1191																		3															1	1								1								1																											1									1																													
TUR1192																1			1								1			2									1																																									1																	1																		
TUR1193													1											1										1					1			1												1																																																		2									1		
TUR1194				2				1																					6							1		4																																																5			1							2																			
TUR1195																																																																																																																			
TUR1196																																																																																																																			
TUR1197																				1				1															1							1			1																																1																																		
TUR1198																																																																																																																			
TUR1199																													1						3																1			1																					1							1		1																			1												
TUR1200																										1													1	4						7														2	1																																								6														1
TUR1201									2												1																				3					4									4																																		1		7													4											
TUR1202																																													1								1						1																																	1			1							1													
TUR1203																																													5																					3				7			2									2											6							3														2	
TUR1204																																	5								4																	5					1											1																		4																					5		
TUR1205																					3																																																1		2				1					1			4							1																					5				
TUR1206																										2		2														2			4									3																								2												2														2											
TUR1207			7																									3										1	1																																				1								2																											5					
