Rater	M_2_ATTR	M_4_ATTR	M_6_ATTR	M_7_ATTR	M_8_ATTR	M_9_ATTR	M_10_ATTR	M_11_ATTR	M_12_ATTR	M_13_ATTR	M_15_ATTR	M_16_ATTR	M_18_ATTR	M_28_ATTR	M_31_ATTR	M_36_ATTR	M_44_ATTR	M_54_ATTR	M_55_ATTR	M_57_ATTR	M_77_ATTR	M_78_ATTR	M_79_ATTR	M_88_ATTR	M_90_ATTR	M_93_ATTR	M_96_ATTR	M_103_ATTR	M_119_ATTR	M_121_ATTR	M_122_ATTR	M_140_ATTR	M_141_ATTR	M_142_ATTR	M_143_ATTR	M_145_ATTR	M_146_ATTR	M_147_ATTR	M_149_ATTR	M_161_ATTR	M_166_ATTR	M_168_ATTR	M_175_ATTR	M_191_ATTR	M_193_ATTR	M_202_ATTR	M_203_ATTR	M_209_ATTR	M_210_ATTR	M_217_ATTR	M_223_ATTR	M_224_ATTR	M_225_ATTR	M_230_ATTR	M_240_ATTR	M_241_ATTR	M_247_ATTR	M_249_ATTR	M_250_ATTR	M_251_ATTR	M_252_ATTR	M_267_ATTR	M_268_ATTR	M_289_ATTR	M_290_ATTR	M_291_ATTR	M_293_ATTR	M_296_ATTR	M_313_ATTR	M_314_ATTR	M_317_ATTR	M_318_ATTR	M_319_ATTR	M_322_ATTR	M_324_ATTR	M_327_ATTR	M_337_ATTR	M_348_ATTR	M_356_ATTR	M_358_ATTR	M_372_ATTR	M_400_ATTR	M_401_ATTR	M_407_ATTR	M_409_ATTR	M_410_ATTR	M_411_ATTR	M_413_ATTR	M_417_ATTR	M_422_ATTR	M_437_ATTR	M_440_ATTR	M_443_ATTR	M_448_ATTR	M_458_ATTR	M_459_ATTR	M_462_ATTR	M_463_ATTR	M_476_ATTR	M_477_ATTR	M_483_ATTR	M_496_ATTR	M_499_ATTR	M_500_ATTR	M_501_ATTR	M_506_ATTR	M_507_ATTR	M_510_ATTR	M_515_ATTR	M_516_ATTR	M_517_ATTR	M_520_ATTR	M_528_ATTR	M_529_ATTR	M_540_ATTR
TUR377					5																											4			6											6																																	5															4			5																		2
TUR378																												1					5								5																																							3						7	1	6																					5						
TUR379							1																				1																	4																						1				5										2																3									4										
TUR380																	1				1		1						1				1																																			1																				1											2																
TUR381																						5																							6												3	4							1							2																	2															1											
TUR382	1												1															1																										1																									1																		1					1						1							
TUR383		2		5																					5				1																				1						7			5																																1																									
TUR384																									1															4		1														5										4																5																		1							3								
TUR385						1						3																																																			1															2									1														1					1									
TUR386		7						3																														6																																6			5		1																					1							2												
TUR387			4								3																			5				3																1			4											2																						1																													
TUR388																5		4									1																																				2								4															1																								3					1
TUR389								3					1																	3								5								5										1																																																											
TUR390							1				1																								2																																	2														1					1			1													1												
TUR391																			1						1		1												1																			5		1																																								2		1													
TUR392																						2												1								1											1						2											5								1																															5						
TUR393																																					4							1					2					3																										2	6																		1					1											
TUR394																2																															1								3														2						1																						1										1				2				
TUR395															1									2							2	2																																									4											1																					3										1
TUR396																							7																		4									1							1																	6					2										5																	1									
TUR397												1																						1														1												1						1																				2			1																		4								
TUR398																	1																				2																3								2																																	1	1										1				1						
TUR399										1								2												1	1				2																																	1																															1																
TUR400	2	5					1																															5											1															1	1																															1																			
TUR401						1							6							5																																																														2	3									5								4				1											
TUR402																						2														1					5																	7	4																			3						1																						2									
TUR403															1	6							5	3	1	4																																									7																				1																												
TUR404				3				1																			1															1												1									4											2																																									
TUR405														3					2																					4					6										3																						5				3																				7														
TUR406					1														1																			3														2											1									1	3																																						1				
TUR407													1		1														1																			1																																		1					1								1																				1
TUR408						1																								3																									3																							2								1												1													2				
TUR409							3													6		4																							6																											4				5															3					3																			
TUR410																6		4										2					5																											1											5			1															2																										
TUR411												3													2														1	2							3						4											2																					2																														
TUR412				1																			7			1																	2																																															1							1					1					1								
TUR413			3						1															1																				2					1								1	3							1																																																		
TUR414		4									3																																																									5																								3		2					2					2				2							
TUR415						3										4																																																				6			4				3		3		3																															3					
TUR416																					1		4					1							6														2				3			1																																																											1
TUR417				5													3										1																		2							3																											1			2															1																		
