Rater	F_22_ATTR	F_23_ATTR	F_29_ATTR	F_33_ATTR	F_37_ATTR	F_39_ATTR	F_43_ATTR	F_46_ATTR	F_47_ATTR	F_53_ATTR	F_61_ATTR	F_62_ATTR	F_65_ATTR	F_66_ATTR	F_69_ATTR	F_73_ATTR	F_74_ATTR	F_76_ATTR	F_91_ATTR	F_92_ATTR	F_95_ATTR	F_98_ATTR	F_99_ATTR	F_102_ATTR	F_104_ATTR	F_105_ATTR	F_110_ATTR	F_111_ATTR	F_115_ATTR	F_116_ATTR	F_120_ATTR	F_131_ATTR	F_132_ATTR	F_135_ATTR	F_137_ATTR	F_138_ATTR	F_139_ATTR	F_151_ATTR	F_152_ATTR	F_153_ATTR	F_154_ATTR	F_155_ATTR	F_156_ATTR	F_158_ATTR	F_164_ATTR	F_170_ATTR	F_176_ATTR	F_178_ATTR	F_183_ATTR	F_185_ATTR	F_186_ATTR	F_188_ATTR	F_190_ATTR	F_196_ATTR	F_197_ATTR	F_199_ATTR	F_200_ATTR	F_205_ATTR	F_206_ATTR	F_213_ATTR	F_219_ATTR	F_227_ATTR	F_232_ATTR	F_238_ATTR	F_239_ATTR	F_256_ATTR	F_258_ATTR	F_275_ATTR	F_282_ATTR	F_286_ATTR	F_299_ATTR	F_302_ATTR	F_303_ATTR	F_304_ATTR	F_305_ATTR	F_307_ATTR	F_309_ATTR	F_310_ATTR	F_323_ATTR	F_330_ATTR	F_334_ATTR	F_340_ATTR	F_341_ATTR	F_345_ATTR	F_352_ATTR	F_355_ATTR	F_363_ATTR	F_365_ATTR	F_366_ATTR	F_369_ATTR	F_374_ATTR	F_377_ATTR	F_378_ATTR	F_380_ATTR	F_382_ATTR	F_386_ATTR	F_393_ATTR	F_395_ATTR	F_398_ATTR	F_404_ATTR	F_405_ATTR	F_419_ATTR	F_424_ATTR	F_427_ATTR	F_429_ATTR	F_434_ATTR	F_441_ATTR	F_444_ATTR	F_447_ATTR	F_452_ATTR	F_453_ATTR	F_454_ATTR	F_456_ATTR	F_457_ATTR	F_460_ATTR	F_465_ATTR	F_468_ATTR	F_470_ATTR	F_473_ATTR	F_474_ATTR	F_475_ATTR	F_484_ATTR	F_486_ATTR	F_490_ATTR	F_492_ATTR	F_493_ATTR	F_497_ATTR	F_502_ATTR	F_503_ATTR	F_505_ATTR	F_513_ATTR	F_514_ATTR	F_521_ATTR	F_523_ATTR	F_526_ATTR	F_527_ATTR	F_532_ATTR	F_533_ATTR	F_534_ATTR	F_535_ATTR	F_536_ATTR	F_537_ATTR	F_539_ATTR	F_542_ATTR
TUR285																															4																																							2													4								4			3																			4													2					4													
TUR286																	4						1																																								4																					2								1				2																				3												2																
TUR287																																																		6		2					2																								2							2													2									4													5																					
TUR288									2											5																																							2												3								5																																	2					3															2												
TUR289				5																							1																															2																																																			3						3				2																	5						3		
TUR290					9																2																5									3																																					4										2												3				2																																			
TUR291																											6																	1					3																											2																												2																													2									3		
TUR292		1														1			2									4																																									1																																							1																										1										
TUR293																									3																																																												4												5																																	3							7	4						
TUR294														3						3					3								4						3																																																																																										4			4												
TUR295															1																							6																																				5	1															4									3																							1																						
TUR296						1																		6		4																																																												3								1																					4																													
TUR297																																																																1																		2																				1															6	1										1															4	
TUR298				6																			4																																				3		4																															5																															2														5		7					
TUR299			1																																							4					4																																								3													3								4				1																																
TUR300		3											3								3																																												4																			4														3																												3																		
TUR301					5													1				7																																														5								4																																																										6				3				4		
TUR302												1																															2			5																																																		1										7			4	5																					1													
TUR303																							3																							2																																	4				5										3						2													1																				2												
TUR304		1							1																							3																2																																					5																	1		3												3																												
TUR305																																	3																		3								1														1																									4		2													2																								4							
TUR306																												2													4																															3																									2																						2																					6		4		
TUR307																																																						7			4							4														7																																	5												5				6																	
TUR308																																	5				4										2																																	2														3															1																			1																
TUR309																1																																					3																																																									4														6										2										
TUR310						5																																												5														4										7															3																										6		5										2																	
TUR311																			3																																			6									1																																							1																								1												1	2					
TUR312																																					4		2	2																															2	4											6																																			3			2																							
TUR313																																												2		4		5				4								13																														6										2																			3																									
TUR314					4																															5																									5																	5													5													4							4																																	
TUR315								5																				5															6																										2								7									4															2																								1																			
TUR316															4																			4																	4																4			4																						4																																							4													
TUR317									3																																																					2											1		2							2														2																																												3				
TUR318												2		3																															2																				4																																									3		1																												5								
TUR319	1														6																						2									2														13																2																																	3					1																														
TUR320						1						2																								7											1	5																																																												3							3					3																								
TUR321																				4																																		3								4								3																																									6							5			4		3																					
TUR322										2							3													5					3																																		2		3																									4																																																
TUR323		1							3		3																				4																																																																				3	3					3		3																																					
TUR324																		1																								2																																									5				3															1										1																2					4											
TUR325					9			1										2																1																6																																											1																														4																					
TUR326																																	2											1																	1		1	1																											6							1																															1															
TUR327																								3						3																																				3								5																										2												1						2																										4
TUR328																																														4	6					4			7			3							5																																														5																													6				
TUR329		3																																																																			3		4																	3					4											4		4																											4											
TUR330									4												4								2															2							6																	5																																								6													3																							
TUR331	1																														5								2																																												1			1									1																											2			1																			
TUR332												1														1															4																							1														4		1																																																																
TUR333								5					2	7						5																																										2													5																																																									4												
TUR334																																																															2																												6								4														3				6																			3			4					
TUR335					9																																																																	2																					6																						2				7													5						7						5		
TUR336								3				2																																																																	6																											5							4				3	4		2																										
TUR337																																									5				5																			5		4																										5									4																					5																						
TUR338										2																																															2												1						3				3																													2																				2									3							
TUR339																																					1														3		1																																	3													2						3																			4																				
TUR340																											2																													4																3																						3								3	4																															3										
TUR341																	4						5																					3																		5																					6																																																	5						6			3			
TUR342																																3										3				1			4																															4									3				1																														4																					
TUR343																		2																																										3	4																																																2										2							2			2				2											
TUR344																																				5								2								2																																						4																												2																	3							4		
TUR345																4				4																																										4		4																							4												4											4																																	4	
TUR346											3								1																																4								1						4						1																					2																																												5								
TUR347																											1						5		4															4																								7																										3																																												
TUR348							9																																															4							4								2									3										1													1																																								3			
TUR349										1																																						4																						1					4											2																							1				2																															6
TUR350																																																					2					1														6									5	1											7																																				5									1						
TUR351														5														1				3							1																								2																6															1																				4																														
TUR352				5																		6																																		3																												3																		4		6															3																									
TUR353													2												6																														5		3																																						3																	4													3			3																
TUR354																																													3		1																				2									2									1																										3																						2	1										
TUR355			2						3												2													1																																																																4								5																		5																				
TUR356																												1					2				1													2																	1																								5																				1												1																					
TUR357																																																					2																1										5				3																																					1		1																						
TUR358																																																3																3		4																											1				2										1	1								3																												
TUR359			4													4																															5							6																			1			5														6																																											5											
TUR360							3							5																																														5																					1																			3					3																																				2			
TUR361				3																		1																																		2																					4											3																					2												1																					6		
TUR362										1										6							4																																			2																				2				2															3																																											
TUR363																		2																																							2																																													3		6											4										5														5					
TUR364	2					3											5																										5																													4																							4																																3																	
TUR365					3						5																														4																																																										3																																													5
TUR366															3																																						4				1				5													5																															3																	2	3																					
TUR367																	4	1			1																																																																															3										6				7																									7					
TUR368	1									2						1																				6	3										2																										1																																																					1																		
TUR369																																																														4							3																																			5				3					4						3						4																		6	
TUR370			2				1																																																																					5																	5				4																			2																										5		
TUR371																									4			4														2																																							3																														6													7			1	1																
TUR372								1																			1																																1	1						3																									1	3																																					1															
TUR373																										1								1																	1																	1				1										1																			1						1																																					
TUR374				4							3												1																	2	3							1							4																																																												3																													
TUR375																													1									2	2																																																			3				3				5																																	2	3												
TUR376																						4																					1																											1																																				4			1																																			
TUR377														5																		4																																																							6																																	4										4							7	4			4			
TUR378		2				9							1																																	6																																																				6																5		7					3																							
TUR379	1																		2															1													1																1							1	3																							2																																																		
TUR380															2														1																							1																																2								1														6															5																		6					
TUR381																																			5															5																													4				5																																										3									5										6
TUR382																														4																														3																														2															1							2			1								1										2											
TUR383																			1																														5																4														6				3	4					4																																														2									
TUR384																																										1							3																3																																					2		5													5												2			4												
TUR385						1					2																				1																																												4																4																				2											1					2																	
TUR386																																												1													1		2														1																											4			2										1																													4		
TUR387																				3			2	3																															5							3																																															4																	1										6								
TUR388																					2					1							4															5																																																											1												2											2					6									
TUR389																																											5																																									7															6										3					6				2					5									7												
TUR390												2															4																			2																	2																			1																2																																	3			1										
TUR391																																1					1											5								2											2								5																												4								1																																	
TUR392					1			9																																														7								1		1																	3																																																									3					2	
TUR393																															3																								5													5											5																																									4		4						3												3				
TUR394																						6	2						1											1				1								3																									6																																				2																															
TUR395						9							3													5				4																																																																																																1			3															
TUR396			1																																			5																							4										5					2							4											2																																															2			
TUR397	5																																																											13																																	5															4				3			4									5			4																	
TUR398														3		3									2																									1																				1																															1																5								1																			
TUR399				4											2									4																																	1																																2																																																							6
TUR400		1																			2												5																																3													4																			1																								3															6								
TUR401																																							1																																																				4									1		5		4									1															1																
TUR402												1																		3	3							3																																																																	2				4				4																			5														
TUR403																1																																						4																																									1	1																		1													5				2											6		
TUR404													1												2				5																																	1		1			1										6																																																							1												
TUR405																				2																	3					2																																											7																							3																		1											4							
TUR406															2			2			3																																		4													5											5																										2																								2															
TUR407		4		6	4					4									4																																																							4																																																	6																					
TUR408																																	1													3																								1														1						1																			3																																			
TUR409																																1		1							4		1						2								1						3																																		2																																															
TUR410																																			5										6					3																							1								3											3																													5													6										
TUR411																								2												6								1																	2																										3	4											2																																													
TUR412			2																																																									7		1																										5				2									1	3																	1																									
TUR413									1																																						1				1							1																																						1						1		1																3																								
TUR414		2						5																																																																							6																	3										4												3		3																				3				
TUR415																																4																					6														4																																					6											5																						5	4						
TUR416																												3						1																																														1							4																5		1																									4														5
TUR417					9																4			4	5																					5												1																																					1																																														2			
TUR418																	2																																	1					4																			4												1				5																																									1								6					
TUR419											5																											6				2																			3																																					5																6												2																	6	
TUR420																		1				4								2									3													2																															5						1																																													1										
TUR421													4																5																																								3		7		3								3													6																	5																																	
TUR422												1					1			1																																			4										2																																											2																				1												3				
TUR423															1																	2																		2									1																													6												2		1																																										
TUR424																								1			1																					1																																							1		2				1																															3													1							
TUR425														7											2																															2						1																					4																																															1		3							5					
TUR426			3																																						7			1																				1																	5													3																				4															1															
TUR427					4																7					1																															2																				4																												3																				3						2													
TUR428																							3														2					2																																																	7				1																										3	3																						
TUR429						9		9																										2					2							5																																		1																					1																																	5										
TUR430										7									4												1																						5													7																																																					1																									
TUR431							1																															3													4										1																								9												5		2																	2																												
TUR432																																													2									1																														1		1																											1							1																		1						
TUR433											7																	1	4																																								1				1																																							2																							1						1			
TUR434																						5																					2						2																			2											4			2														2											2																																					
TUR435							4					2																										6																			2						4														6																					4																													4																	
TUR436																																				5																									2											1																											1						1														1		1			3																				
TUR437													1																																				5						6																																				5											3																				4								2								3						
TUR438																	4																								6							4																																		4																						7																															3						3			
TUR439					1													1											2															1																																										1																								2			1																		1													
TUR440																							1																																			4													6				4	4																																																															4					
TUR441			4	6																				4																																						2																					6					6	2								4																																															
TUR442		2																				3													4																					7																																																										6												1																	6	
TUR443																																																											1						6																3											1									1						1																										3											
TUR444										1																																					1																						1										6					6																1																	7												4															
TUR445									1		1																	3												1																								1										4																						5							1																																									
TUR446												3																										6																6						13												3																5									2																																															
TUR447																										3																															1																							1	1									2																																																	2	4				
TUR448																								5																	4																		4																4																												4								4									4																								
TUR449								6			5																3												3																			3															3																		5																																														4							
TUR450																					4																																										4	2			2							1										5			2																																													4												
TUR451		2															5														3				4	6				2																																																																			3																								3													
TUR452				5									1																																					2			3																								4																								1											1																															4	
TUR453									2																																																								6					1																							2			2										4		4																																	2			
TUR454							1			1																		1															1						2						5																																																													1													1															
TUR455				3			5								3															3				1																																		5																											1							2																																										
TUR456																																													5																								1		5																																														7									3						6												
TUR457										4			1																												4																							1											5							1																				1																1																										
TUR458					1			3			3																													5										2												3																																				6																																												7		
TUR459													2																																																		5			6																	5														5																		3										1									2										
TUR460																												6																													1									3			1																																																								2								2											6
TUR461								7																										1						4				3																										2																									1						4													5																														
TUR462												1											1																		2																				2																3																								1																											1																
TUR463																			2												2							6													1																			1			1																																																			2												2								
TUR464	1					1																																									2											1																						1																																															1			4														
TUR465		1																														1																											1																									5															1							5																																1					5	
TUR466									4													4														7	5						2						4							2																																																																	1																							
TUR467										2								1			3																																		5					5														6																			2																				1																															
TUR468			2																																										5																		4															6																																	2	3									3																						6	
TUR469	1					1																												1					1																																									1																											1									2									1																			
TUR470									3																	4									5			7													5	3																					2																																															1																								
TUR471																		1																																			2											1												3			4											6																																	1													7								
TUR472		1																																															3					5				1										3																					1																														1			1																						
TUR473																											2										6																		5																						4																										2																								2											2						
TUR474													1	5																		2																																																																								4																									1						2					3				
TUR475															3																																			3							2								7																							7					4																																																			
TUR476																	3												2		4									4			2																																											2																																								1																		
TUR477																								3				7																				1								7																																																																										3	1		1				7							
TUR478							3																																						6	4																		1																																					2												2	5																														
TUR479							1								1					1																								1																																							5									1														1										1																												
TUR480																					2											1								4																													1																																		2																																	4						3		
TUR481																												5	7																																									4						4																	5					5																				4		4																								
TUR482										2																					4																									7												5			6														9									1																																																		
TUR483									1								2																					1								3																																																																																											3							
TUR484			1																							1																							1		4																																							3																											5				2									1														
TUR485								5			4		3																												5							4						6																																																																									4						4											
TUR486																3											5																												7												4																				4																								5														1																4			
TUR487						1														1										1			1																																																						1								1																										1								1															
TUR488	1																				2																					2				2																																											1																				1																	1																		
TUR489														5																											6								6								3																			4							5																																			3																								7		
TUR490																														6												1																		4																				2																			2																3				2													5												
TUR491																																																																																																		6															3									2										5				7	6			3				
TUR492		2																				3																						1			2																						1	1																														2			2																																									
TUR493																										2	1																																			1										2																						1																	3																																3	
TUR494																																				5									1														3									5			1											1																																																									5					
TUR495			3																				2		6																												3																					4																							3				3											5																																
TUR496																							1													2													1		1	1									1														1																			1																																																		
TUR497							6										1														7																																																												5					1											1																				3																	
TUR498																																			4								1			3																																																													1									5															1								6			5		
TUR499		1									5								1																	6																5																														1																											1				4																															
TUR500	1																										2																																							6		3	2												2										2																								3																													
TUR501					3																									2																					2					5																																											1																					4								3						2										
TUR502																1																		1															1					7																																1															1																																1								1			
TUR503									5																														6																		4										4																																											7	6																													5				
TUR504																					3																											4													5															5																																																					4														5	
TUR505																									7								7																											7										2			2																																																		6																					
TUR506			5																													3																		4									2	13																																								2																			3																			3						
TUR507						4																		5																																									6			5						4	7																											4							6																																			
TUR508		3																														6																															3						5	2																			3							5																							2																									
TUR509																													5																											3																							6		3																		4						3																	3	4																					
TUR510										1																										5																1			6																	1																																									1																							1				1				
TUR511			1														1																																				1																																			2																						4		1																1															2	
TUR512																											1	2						1	2																																																																		1																															6												
TUR513											6												1																						3												2																							2				1														5																																														
TUR514															3			1																																																											7					3											1										7																		1																5							
TUR515																1																												1		1			1																																						2																																	1							1																	
TUR516																															5										6									1														1		6																																									1							4																					2									
TUR517				4	9								1								2																	5				2																																				4																										2																																								
TUR518								9																															3								4											3																																																2																		4							3													
TUR519	1																																				2				5																1																													1											2			1																																												
TUR520																																																				1												1																																																			2		5												1					1				1					3	
TUR521			3																		2				5				4																				3		2																																							6																															3																							
TUR522								9																																															3							3											1										3																															3																									5			4		
TUR523		2																																											2																													3																		1																								5											1	5																
TUR524													1											6																																				2																									9											1								5																																								
TUR525																	2																																																3	6											3							4			5																									2												7																				
TUR526									2																	3				4										2			1											4																																																								3																																		
TUR527																																						5								1																									1	1					2											7																								3																								7								
TUR528				5												3																										3																																	3						4												3													5																				3																		
TUR529																																								3									1																																			2								1																										1												1					1									3
TUR530																									4									2																			2																																																			7							7										6					1																		
TUR531															3					6		7																					1		6		4																																																												2													2																								
TUR532			4																					7								4																									1					2											1																		5																																																		3			
TUR533																					2					3									2		3														2																							5																									4						2																																							
TUR534																																												2														4																	7										5																																						3																			6		
TUR535																															1							5				2													5					3																					1																5																																									3						
TUR536																5																																								4			3																	4																	5																															4							4		4											
TUR537											4						1																																												2							4										4				2							1																																																2							
TUR538	2	1								2																																				5							2																														5				5																																																									
TUR539															3														3												6																		2																																5				2																2																									3								
TUR540																	4			4		5																																								4	5																																	4	5				3																																											
TUR541									3																												5																											5					1											3																																	4												5		6																	
TUR542																																																		5							2									7							2	6		4																														5															5																							
TUR543																					5									5																																																	6			2							5																																							2																6
TUR544														6																																																													2																		3									1						2		4		1																							1									
TUR545											4																						4										2								3				6										4																																		2																	4																												
TUR546		4																								2										4						3		3																																																							3																						3								2															
TUR547																	5																						1																					5																																5				4															3																								2					4				
TUR548					1																																			2																												1			1																					2																																								1									1		2	
TUR549																									2																						3							5			1								1			2																							6											1																																										
TUR550							3								2																																																3									3													4																																																								3			
TUR551													1					1											1																																										3															2														1															4																						4							
TUR552	2		2																																																																											4																															2	4			3													2							3											
TUR553																						7																			7								1									1																																																										3						1		5			1																	
TUR554								4										2																																																																												2				3		2																	5											2	2															
TUR555										1														3																			2										4			1																											2																					4																																4								
TUR556				6																	4																									5									6				3					2																																	5															2																																
TUR557				4																											2				2																2											1			6																													1																																																		6
TUR558																																			5													4																																1				2																					2	2												1														3												
TUR559																																																																										6	2									2			2	5																																1											3													
TUR560							9		1			1																																									1																														4																3																							2																	6					
TUR561						1									1					5																		6														1																																																	1											2		3																														
TUR562																																					7						5	1																	6																			3									4									5																																2														
TUR563					9																													2																									2																	2									9	2																																																				2					4	
TUR564										1			1										1						2																1																																																																																			1	1												1			
TUR565																											3																							2																																															3						4							3																	3								2		5							
TUR566													1																											3								3																											6																	2																						7							4																							
